Date,Shown,Clicked,Converted,Avg_cost_per_click,Total_revenue,Ad_group,Region,Device_type,CTR
27-10-2018,82355,1128,37,0.87,1172.03,ad_group_3,North America,Mobile,0.0137
30-10-2016,94106,2737,55,1.12,932.14,ad_group_4,Europe,Mobile,0.0291
15-01-2015,4148,72,40,0.37,8385.15,AdGroup_1,East,Tablet,0.1531
19-03-2017,86999,3202,41,0.87,1067.08,ad_group_3,South America,Desktop,0.0368
19-03-2020,50730,4180,39,0.91,679.94,ad_group_2,North America,Mobile,0.0824
17-12-2015,88710,1075,37,0.88,727.51,ad_group_3,North America,Desktop,0.0121
26-02-2020,63444,3269,53,0.9,668.4,ad_group_1,Europe,Mobile,0.0515
22-04-2015,63898,2257,70,0.83,546.9,ad_group_2,South America,Mobile,0.0353
15-01-2015,4544,330,99,2.39,7724.3,AdGroup_22,West,Tablet,0.1527
05-01-2019,76056,4309,46,1.1,998.21,ad_group_5,Asia,Mobile,0.0567
15-01-2015,3177,334,52,0.77,2543.22,AdGroup_7,East,Tablet,0.0562
02-08-2018,61848,1320,48,0.97,789.76,ad_group_1,Asia,Desktop,0.0213
12-03-2020,61153,2608,64,1.02,888.46,ad_group_2,Asia,Mobile,0.0426
08-04-2020,55459,1150,56,0.84,961.95,ad_group_4,South America,Mobile,0.0207
14-12-2019,58159,1441,33,0.96,609.48,ad_group_3,Asia,Desktop,0.0248
15-05-2015,75326,3621,53,1.14,964.22,ad_group_1,Asia,Desktop,0.0481
02-11-2017,90690,1269,59,1,788.51,ad_group_2,North America,Desktop,0.014
26-02-2015,97537,1121,41,0.8,603.96,ad_group_5,North America,Mobile,0.0115
28-07-2015,93118,3296,67,1.15,817.92,ad_group_2,North America,Desktop,0.0354
21-09-2016,65177,4204,51,0.92,598.81,ad_group_1,South America,Mobile,0.0645
05-09-2017,97738,3683,31,0.92,553.38,ad_group_5,North America,Mobile,0.0377
15-01-2015,2045,89,76,2.46,3781.66,AdGroup_10,South,Desktop,0.1647
29-11-2015,73064,1306,52,1.07,917.89,ad_group_1,Asia,Desktop,0.0179
17-12-2019,69998,2503,58,0.98,562.04,ad_group_1,Europe,Mobile,0.0358
07-10-2019,68595,3776,41,1.19,948.16,ad_group_3,Europe,Desktop,0.055
18-06-2020,72629,4566,33,1.09,435.5,ad_group_3,North America,Desktop,0.0629
09-12-2015,84265,4304,67,1.01,614.81,ad_group_4,Asia,Mobile,0.0511
